time,tau1,tau2,tau3,tau4,tau5,tau6
2960,4.67645, 0, 0, 0, 0, 0
2965,4.67643, 0, 0, 0, 0, 0
2970,4.67642, 0, 0, 0, 0, 0
2975,4.67641, 0, 0, 0, 0, 0
2980,4.67639, 0, 0, 0, 0, 0
2985,4.67638, 0, 0, 0, 0, 0
2990,4.67637, 0, 0, 0, 0, 0
2995,4.67636, 0, 0, 0, 0, 0
3000,4.67634, 0, 0, 0, 0, 0
3005,4.67633, 0, 0, 0, 0, 0
3010,4.67632, 0, 0, 0, 0, 0
3015,4.67631, 0, 0, 0, 0, 0
3020,4.67629, 0, 0, 0, 0, 0
3025,4.67628, 0, 0, 0, 0, 0
3030,4.67627, 0, 0, 0, 0, 0
3035,4.67625, 0, 0, 0, 0, 0
3040,4.67624, 0, 0, 0, 0, 0
3045,4.67623, 0, 0, 0, 0, 0
3050,4.67622, 0, 0, 0, 0, 0
3055,4.6762, 0, 0, 0, 0, 0
