time,thrust,att.x,att.y,att.z,attq.w,attq.x,attq.y,attq.z
1955,0,0,0,1.5708,0.707107,0,0,0.707107
1960,0,0,0,1.5708,0.707107,0,0,0.707107
1965,0,0,0,1.5708,0.707107,0,0,0.707107
1970,0,0,0,1.5708,0.707107,0,0,0.707107
1975,0,0,0,1.5708,0.707107,0,0,0.707107
1980,0,0,0,1.5708,0.707107,0,0,0.707107
1985,0,0,0,1.5708,0.707107,0,0,0.707107
1990,0,0,0,1.5708,0.707107,0,0,0.707107
1995,0,0,0,1.5708,0.707107,0,0,0.707107
2000,0,0,0,1.5708,0.707107,0,0,0.707107
2005,0,0,0,1.5708,0.707107,0,0,0.707107
2010,0,0,0,1.5708,0.707107,0,0,0.707107
2015,0,0,0,1.5708,0.707107,0,0,0.707107
2020,0,0,0,1.5708,0.707107,0,0,0.707107
2025,0,0,0,1.5708,0.707107,0,0,0.707107
2030,0,0,0,1.5708,0.707107,0,0,0.707107
2035,0,0,0,1.5708,0.707107,0,0,0.707107
2040,0,0,0,1.5708,0.707107,0,0,0.707107
2045,0,0,0,1.5708,0.707107,0,0,0.707107
2050,0,0,0,1.5708,0.707107,0,0,0.707107
2055,0,0,0,1.5708,0.707107,0,0,0.707107
2060,0,0,0,1.5708,0.707107,0,0,0.707107
2065,0,0,0,1.5708,0.707107,0,0,0.707107
2070,0,0,0,1.5708,0.707107,0,0,0.707107
2075,0,0,0,1.5708,0.707107,0,0,0.707107
2080,0,0,0,1.5708,0.707107,0,0,0.707107
2085,0,0,0,1.5708,0.707107,0,0,0.707107
2090,0,0,0,1.5708,0.707107,0,0,0.707107
2095,0,0,0,1.5708,0.707107,0,0,0.707107
2100,0,0,0,1.5708,0.707107,0,0,0.707107
2105,0,0,0,1.5708,0.707107,0,0,0.707107
2110,0,0,0,1.5708,0.707107,0,0,0.707107
2115,0,0,0,1.5708,0.707107,0,0,0.707107
2120,0,0,0,1.5708,0.707107,0,0,0.707107
2125,0,0,0,1.5708,0.707107,0,0,0.707107
2130,0,0,0,1.5708,0.707107,0,0,0.707107
2135,0,0,0,1.5708,0.707107,0,0,0.707107
2140,0,0,0,1.5708,0.707107,0,0,0.707107
2145,0,0,0,1.5708,0.707107,0,0,0.707107
2150,0,0,0,1.5708,0.707107,0,0,0.707107
2155,0,0,0,1.5708,0.707107,0,0,0.707107
2160,0,0,0,1.5708,0.707107,0,0,0.707107
2165,0,0,0,1.5708,0.707107,0,0,0.707107
2170,0,0,0,1.5708,0.707107,0,0,0.707107
2175,0,0,0,1.5708,0.707107,0,0,0.707107
2180,0,0,0,1.5708,0.707107,0,0,0.707107
2185,0,0,0,1.5708,0.707107,0,0,0.707107
2190,0,0,0,1.5708,0.707107,0,0,0.707107
2195,0,0,0,1.5708,0.707107,0,0,0.707107
2200,0,0,0,1.5708,0.707107,0,0,0.707107
2205,0,0,0,1.5708,0.707107,0,0,0.707107
2210,0,0,0,1.5708,0.707107,0,0,0.707107
2215,0,0,0,1.5708,0.707107,0,0,0.707107
2220,0,0,0,1.5708,0.707107,0,0,0.707107
2225,0,0,0,1.5708,0.707107,0,0,0.707107
2230,0,0,0,1.5708,0.707107,0,0,0.707107
2235,0,0,0,1.5708,0.707107,0,0,0.707107
2240,0,0,0,1.5708,0.707107,0,0,0.707107
2245,0,0,0,1.5708,0.707107,0,0,0.707107
2250,0,0,0,1.5708,0.707107,0,0,0.707107
2255,0,0,0,1.5708,0.707107,0,0,0.707107
2260,0,0,0,1.5708,0.707107,0,0,0.707107
2265,0,0,0,1.5708,0.707107,0,0,0.707107
2270,0,0,0,1.5708,0.707107,0,0,0.707107
2275,0,0,0,1.5708,0.707107,0,0,0.707107
2280,0,0,0,1.5708,0.707107,0,0,0.707107
2285,0,0,0,1.5708,0.707107,0,0,0.707107
2290,0,0,0,1.5708,0.707107,0,0,0.707107
2295,0,0,0,1.5708,0.707107,0,0,0.707107
2300,0,0,0,1.5708,0.707107,0,0,0.707107
2305,0,0,0,1.5708,0.707107,0,0,0.707107
2310,0,0,0,1.5708,0.707107,0,0,0.707107
2315,0,0,0,1.5708,0.707107,0,0,0.707107
2320,0,0,0,1.5708,0.707107,0,0,0.707107
2325,0,0,0,1.5708,0.707107,0,0,0.707107
2330,0,0,0,1.5708,0.707107,0,0,0.707107
2335,0,0,0,1.5708,0.707107,0,0,0.707107
2340,0,0,0,1.5708,0.707107,0,0,0.707107
2345,0,0,0,1.5708,0.707107,0,0,0.707107
2350,0,0,0,1.5708,0.707107,0,0,0.707107
2355,0,0,0,1.5708,0.707107,0,0,0.707107
2360,0,0,0,1.5708,0.707107,0,0,0.707107
2365,0,0,0,1.5708,0.707107,0,0,0.707107
2370,0,0,0,1.5708,0.707107,0,0,0.707107
2375,0,0,0,1.5708,0.707107,0,0,0.707107
2380,0,0,0,1.5708,0.707107,0,0,0.707107
2385,0,0,0,1.5708,0.707107,0,0,0.707107
2390,0,0,0,1.5708,0.707107,0,0,0.707107
2395,0,0,0,1.5708,0.707107,0,0,0.707107
2400,0,0,0,1.5708,0.707107,0,0,0.707107
2405,0,0,0,1.5708,0.707107,0,0,0.707107
2410,0,0,0,1.5708,0.707107,0,0,0.707107
2415,0,0,0,1.5708,0.707107,0,0,0.707107
2420,0,0,0,1.5708,0.707107,0,0,0.707107
2425,0,0,0,1.5708,0.707107,0,0,0.707107
2430,0,0,0,1.5708,0.707107,0,0,0.707107
2435,0,0,0,1.5708,0.707107,0,0,0.707107
2440,0,0,0,1.5708,0.707107,0,0,0.707107
2445,0,0,0,1.5708,0.707107,0,0,0.707107
2450,0,0,0,1.5708,0.707107,0,0,0.707107
2455,0,0,0,1.5708,0.707107,0,0,0.707107
2460,0,0,0,1.5708,0.707107,0,0,0.707107
2465,0,0,0,1.5708,0.707107,0,0,0.707107
2470,0,0,0,1.5708,0.707107,0,0,0.707107
2475,0,0,0,1.5708,0.707107,0,0,0.707107
2480,0,0,0,1.5708,0.707107,0,0,0.707107
2485,0,0,0,1.5708,0.707107,0,0,0.707107
2490,0,0,0,1.5708,0.707107,0,0,0.707107
2495,0,0,0,1.5708,0.707107,0,0,0.707107
2500,0,0,0,1.5708,0.707107,0,0,0.707107
2505,0,0,0,1.5708,0.707107,0,0,0.707107
2510,0,0,0,1.5708,0.707107,0,0,0.707107
2515,0,0,0,1.5708,0.707107,0,0,0.707107
2520,0,0,0,1.5708,0.707107,0,0,0.707107
2525,0,0,0,1.5708,0.707107,0,0,0.707107
2530,0,0,0,1.5708,0.707107,0,0,0.707107
2535,0,0,0,1.5708,0.707107,0,0,0.707107
2540,0,0,0,1.5708,0.707107,0,0,0.707107
