time,Vnom,I_mA,mAh_remaining
3380,8.37578,30939.8,98.7585
3385,8.37574,30939.6,98.7566
3390,8.3757,30939.5,98.7546
3395,8.37567,30939.3,98.7527
3400,8.37563,30939.2,98.7507
3405,8.37559,30939.1,98.7488
3410,8.37556,30938.9,98.7468
3415,8.37552,30938.8,98.7449
3420,8.37548,30938.6,98.7429
3425,8.37545,30938.5,98.741
3430,8.37541,30938.3,98.739
3435,8.37537,30938.2,98.737
3440,8.37534,30938,98.7351
3445,8.3753,30937.9,98.7331
3450,8.37526,30937.8,98.7312
3455,8.37523,30937.6,98.7292
3460,8.37519,30937.5,98.7273
3465,8.37515,30937.3,98.7253
3470,8.37512,30937.2,98.7234
3475,8.37508,30937,98.7214
3480,8.37504,30936.9,98.7195
3485,8.37501,30936.8,98.7175
3490,8.37497,30936.6,98.7156
3495,8.37493,30936.5,98.7136
3500,8.3749,30936.3,98.7117
3505,8.37486,30936.2,98.7097
3510,8.37482,30936,98.7078
3515,8.37479,30935.9,98.7058
3520,8.37475,30935.8,98.7038
3525,8.37471,30935.6,98.7019
3530,8.37468,30935.5,98.6999
3535,8.37464,30935.3,98.698
3540,8.37461,30935.2,98.696
3545,8.37457,30935,98.6941
3550,8.37453,30934.9,98.6921
3555,8.3745,30934.8,98.6902
3560,8.37446,30934.6,98.6882
3565,8.37442,30934.5,98.6863
3570,8.37439,30934.3,98.6843
3575,8.37435,30934.2,98.6824
3580,8.37431,30934,98.6804
3585,8.37428,30933.9,98.6785
3590,8.37424,30933.8,98.6765
3595,8.3742,30933.6,98.6746
3600,8.37417,30933.5,98.6726
3605,8.37413,30933.3,98.6706
3610,8.37409,30933.2,98.6687
3615,8.37406,30933,98.6667
3620,8.37402,30932.9,98.6648
3625,8.37398,30932.8,98.6628
3630,8.37395,30932.6,98.6609
3635,8.37391,30932.5,98.6589
3640,8.37387,30932.3,98.657
3645,8.37384,30932.2,98.655
3650,8.3738,30932,98.6531
3655,8.37376,30931.9,98.6511
3660,8.37373,30931.7,98.6492
3665,8.37369,30931.6,98.6472
3670,8.37366,30931.5,98.6453
3675,8.37362,30931.3,98.6433
3680,8.37358,30931.2,98.6414
3685,8.37355,30931,98.6394
3690,8.37351,30930.9,98.6374
3695,8.37347,30930.7,98.6355
3700,8.37344,30930.6,98.6335
3705,8.3734,30930.5,98.6316
3710,8.37336,30930.3,98.6296
3715,8.37333,30930.2,98.6277
3720,8.37329,30930,98.6257
3725,8.37325,30929.9,98.6238
3730,8.37322,30929.7,98.6218
3735,8.37318,30929.6,98.6199
3740,8.37314,30929.5,98.6179
3745,8.37311,30929.3,98.616
3750,8.37307,30929.2,98.614
3755,8.37303,30929,98.6121
3760,8.373,30928.9,98.6101
3765,8.37296,30928.7,98.6082
3770,8.37293,30928.6,98.6062
3775,8.37289,30928.5,98.6043
3780,8.37285,30928.3,98.6023
3785,8.37282,30928.2,98.6004
3790,8.37278,30928,98.5984
3795,8.37274,30927.9,98.5964
3800,8.37271,30927.7,98.5945
3805,8.37267,30927.6,98.5925
3810,8.37263,30927.5,98.5906
3815,8.3726,30927.3,98.5886
3820,8.37256,30927.2,98.5867
3825,8.37252,30927,98.5847
3830,8.37249,30926.9,98.5828
3835,8.37245,30926.7,98.5808
3840,8.37242,30926.6,98.5789
3845,8.37238,30926.5,98.5769
3850,8.37234,30926.3,98.575
3855,8.37231,30926.2,98.573
3860,8.37227,30926,98.5711
3865,8.37223,30925.9,98.5691
3870,8.3722,30925.7,98.5672
3875,8.37216,30925.6,98.5652
3880,8.37212,30925.5,98.5633
3885,8.37209,30925.3,98.5613
3890,8.37205,30925.2,98.5593
3895,8.37201,30925,98.5574
3900,8.37198,30924.9,98.5554
3905,8.37194,30924.7,98.5535
3910,8.37191,30924.6,98.5515
3915,8.37187,30924.5,98.5496
3920,8.37183,30924.3,98.5476
3925,8.3718,30924.2,98.5457
3930,8.37176,30924,98.5437
3935,8.37172,30923.9,98.5418
3940,8.37169,30923.7,98.5398
3945,8.37165,30923.6,98.5379
3950,8.37161,30923.5,98.5359
3955,8.37158,30923.3,98.534
3960,8.37154,30923.2,98.532
3965,8.3715,30923,98.5301
3970,8.37147,30922.9,98.5281
3975,8.37143,30922.7,98.5262
3980,8.3714,30922.6,98.5242
