time,thrust,rate_sp.x,rate_sp.y,rate_sp.z,tau_sp.x,tau_sp.y,tau_sp.z,m.1,m.2,m.3,m.4
1170,0,0,0,0.117594,0,0,-0.000202162,0.199628,-0.199628,-0.199628,0.199628
1175,0,0,0,0.115748,0,0,-0.000215272,0.199654,-0.199654,-0.199654,0.199654
1180,0,0,0,0.113902,0,0,-0.000228382,0.19968,-0.19968,-0.19968,0.19968
1185,0,0,0,0.112055,0,0,-0.000241493,0.199706,-0.199706,-0.199706,0.199706
1190,0,0,0,0.110208,0,0,-0.000254605,0.199732,-0.199732,-0.199732,0.199732
1195,0,0,0,0.108361,0,0,-0.00026772,0.199758,-0.199758,-0.199758,0.199758
1200,0,0,0,0.106514,0,0,-0.000280834,0.199784,-0.199784,-0.199784,0.199784
1205,0,0,0,0.104667,0,0,-0.00029395,0.19981,-0.19981,-0.19981,0.19981
1210,0,0,0,0.102819,0,0,-0.000307067,0.199836,-0.199836,-0.199836,0.199836
1215,0,0,0,0.100971,0,0,-0.000320186,0.199862,-0.199862,-0.199862,0.199862
1220,0,0,0,0.0991236,0,0,-0.000333305,0.199888,-0.199888,-0.199888,0.199888
1225,0,0,0,0.0972756,0,0,-0.000346426,0.199914,-0.199914,-0.199914,0.199914
1230,0,0,0,0.0954276,0,0,-0.000359547,0.19994,-0.19994,-0.19994,0.19994
1235,0,0,0,0.0935815,0,0,-0.000369658,0.19996,-0.19996,-0.19996,0.19996
1240,0,0,0,0.091748,0,0,-0.000372758,0.199966,-0.199966,-0.199966,0.199966
1245,0,0,0,0.0899392,0,0,-0.000369053,0.199959,-0.199959,-0.199959,0.199959
1250,0,0,0,0.0881668,0,0,-0.000358741,0.199938,-0.199938,-0.199938,0.199938
1255,0,0,0,0.0864415,0,0,-0.00034202,0.199905,-0.199905,-0.199905,0.199905
1260,0,0,0,0.0847739,0,0,-0.000319084,0.19986,-0.19986,-0.19986,0.19986
1265,0,0,0,0.0831742,0,0,-0.00029012,0.199802,-0.199802,-0.199802,0.199802
1270,0,0,0,0.0816521,0,0,-0.000255311,0.199733,-0.199733,-0.199733,0.199733
1275,0,0,0,0.0802166,0,0,-0.000214839,0.199653,-0.199653,-0.199653,0.199653
